0,1289.701
4,1289.143
8,1288.397
12,1287.642
16,1286.719
20,1285.797
24,1284.932
28,1284.33
32,1283.728
36,1283.126
40,1282.886
44,1282.777
48,1282.698
52,1282.672
56,1282.646
60,1282.621
64,1282.579
68,1282.534
72,1282.489
76,1282.445
80,1282.409
84,1282.388
88,1282.418
92,1282.459
96,1282.499
100,1282.54
104,1282.559
108,1282.575
112,1282.571
116,1282.56
120,1282.549
124,1282.538
128,1282.55
132,1282.601
136,1282.653
140,1282.676
144,1282.645
148,1282.615
152,1282.584
156,1282.554
160,1282.53
164,1282.524
168,1282.576
172,1282.628
176,1282.679
180,1282.731
184,1282.675
188,1282.129
192,1281.583
196,1281.038
200,1280.157
204,1278.977
208,1277.797
212,1275.888
216,1273.751
220,1271.641
224,1269.533
228,1267.425
232,1265.558
236,1263.977
240,1262.823
