187.500,75,2.00000,166.383
182.500,75,1.93333,72.794
167.500,65,2.07692,79.685
162.500,65,2.00000,135.695
157.500,65,1.92308,92.465
147.500,55,2.18182,84.017
142.500,55,2.09091,76.784
137.500,55,2.00000,100.666
132.500,55,1.90909,105.052
122.500,45,2.22222,122.931
117.500,45,2.11111,99.600
112.500,45,2.00000,122.544
97.500,35,2.28571,136.909
92.500,35,2.14286,143.444
87.500,35,2.00000,128.932
82.500,35,1.85714,125.286
72.500,25,2.40000,141.008
67.500,25,2.20000,125.841
62.500,25,2.00000,126.540
57.500,25,1.80000,130.293
47.500,15,2.66667,137.370
42.500,15,2.33333,139.325
37.500,15,2.00000,144.441
32.500,15,1.66667,199.363
22.500,5,4.00000,231.613
17.500,5,3.00000,168.695
12.500,5,2.00000,290.751
7.500,5,1.00000,287.118
192.500,75,2.00000,41.262
187.500,75,1.93333,52.514
167.500,65,2.00000,27.146
162.500,65,1.92308,76.637
152.500,55,2.18182,40.484
147.500,55,2.09091,106.052
142.500,55,2.00000,56.174
137.500,55,1.90909,77.594
127.500,45,2.22222,74.572
122.500,45,2.11111,141.456
117.500,45,2.00000,88.374
112.500,45,1.88889,109.459
102.500,35,2.28571,139.862
97.500,35,2.14286,137.735
92.500,35,2.00000,130.731
87.500,35,1.85714,125.811
77.500,25,2.40000,117.945
72.500,25,2.20000,129.149
67.500,25,2.00000,128.510
62.500,25,1.80000,126.607
52.500,15,2.66667,129.485
47.500,15,2.33333,141.738
42.500,15,2.00000,144.990
37.500,15,1.66667,151.373
27.500,5,4.00000,193.910
22.500,5,3.00000,228.911
17.500,5,2.00000,195.098
12.500,5,1.00000,291.541
197.500,75,2.00000,65.025
192.500,75,1.93333,60.033
167.500,65,1.92308,98.448
157.500,55,2.18182,77.641
152.500,55,2.09091,52.787
147.500,55,2.00000,43.144
142.500,55,1.90909,66.916
132.500,45,2.22222,82.779
127.500,45,2.11111,111.956
122.500,45,2.00000,47.972
117.500,45,1.88889,113.361
102.500,35,2.14286,145.245
97.500,35,2.00000,138.137
92.500,35,1.85714,129.928
82.500,25,2.40000,110.815
77.500,25,2.20000,131.503
72.500,25,2.00000,125.481
67.500,25,1.80000,122.664
57.500,15,2.66667,113.454
52.500,15,2.33333,147.509
47.500,15,2.00000,149.432
42.500,15,1.66667,162.654
32.500,5,4.00000,220.668
27.500,5,3.00000,229.540
22.500,5,2.00000,270.176
17.500,5,1.00000,257.266
202.500,75,2.00000,51.658
197.500,75,1.93333,83.124
162.500,55,2.18182,113.427
152.500,55,2.00000,185.528
